*edges
CDKN2A	CDKN1A	i 6	c 0.808
CDKN2A	CDKN1A	i 7	c 0.9
CDKN2A	CDKN1A	i 8	c 0.973
H2AFX	AKT1	i 8	c 0.507
CDKN2A	AKT1	i 6	c 0.104
CDKN2A	AKT1	i 8	c 0.675
HIPK2	ATM	i 8	c 0.472
SP1	KAT2B	i 6	c 0.111
SP1	KAT2B	i 8	c 0.878
CDKN2A	HIF1A	i 6	c 0.576
CDKN2A	HIF1A	i 8	c 0.404
GAB2	FRS2	i 7	c 0.9
GAB2	FRS2	i 8	c 0.238
MDM2	KAT2B	i 6	c 0.915
MDM2	KAT2B	i 7	c 0.9
MDM2	KAT2B	i 8	c 0.451
ATM	AKT1	i 8	c 0.686
TP53	KAT2B	i 6	c 0.999
TP53	KAT2B	i 7	c 0.9
TP53	KAT2B	i 8	c 0.963
SP1	EGFR	i 8	c 0.407
CREB1	STAT3	i 8	c 0.691
CREB1	SOS1	i 7	c 0.9
CREB1	SOS1	i 8	c 0.278
EGFR	CDKN1A	i 8	c 0.807
CDKN1A	CCND1	i 6	c 0.999
CDKN1A	CCND1	i 7	c 0.9
CDKN1A	CCND1	i 8	c 0.974
AKT1	GAB1	i 7	c 0.9
AKT1	GAB1	i 8	c 0.278
HIF1A	STAT3	i 6	c 0.808
HIF1A	STAT3	i 8	c 0.913
MAPK8	SP1	i 6	c 0.592
MAPK8	SP1	i 7	c 0.9
MAPK8	SP1	i 8	c 0.864
BRCA1	CREB1	i 6	c 0.812
BRCA1	CREB1	i 8	c 0.35
CHEK2	CCNE1	i 5	c 0.184
CHEK2	CCNE1	i 8	c 0.556
SRC	GRB2	i 4	c 0.768
SRC	GRB2	i 5	c 0.114
SRC	GRB2	i 6	c 0.949
SRC	GRB2	i 7	c 0.9
SRC	GRB2	i 8	c 0.988
STAT3	SIRT1	i 6	c 0.57
STAT3	SIRT1	i 8	c 0.895
GAB2	STAT3	i 8	c 0.835
PCNA	ERBB2	i 8	c 0.601
USP7	TP53	i 6	c 0.999
USP7	TP53	i 7	c 0.9
USP7	TP53	i 8	c 0.912
SRC	CREBBP	i 6	c 0.819
SRC	CREBBP	i 8	c 0.592
SOS1	IGF1R	i 6	c 0.102
SOS1	IGF1R	i 7	c 0.9
SOS1	IGF1R	i 8	c 0.248
GAB2	EGFR	i 6	c 0.804
GAB2	EGFR	i 8	c 0.62
CDKN2A	ATM	i 6	c 0.076
CDKN2A	ATM	i 8	c 0.7
CDK2	KAT2B	i 6	c 0.831
CDK2	KAT2B	i 8	c 0.533
SRC	CDK4	i 3	c 0.371
SRC	CDK4	i 4	c 0.644
SRC	CDK4	i 6	c 0.107
SRC	CDK4	i 8	c 0.925
MAPK8	AKT1	i 3	c 0.298
MAPK8	AKT1	i 4	c 0.631
MAPK8	AKT1	i 6	c 0.1
MAPK8	AKT1	i 8	c 0.979
GAB2	MAPK8	i 8	c 0.834
MDM2	H2AFX	i 8	c 0.45
BRCA1	CREBBP	i 6	c 0.996
BRCA1	CREBBP	i 8	c 0.407
ATM	CDK4	i 7	c 0.9
ATM	CDK4	i 8	c 0.728
MAPK8	HIF1A	i 8	c 0.443
MDM2	SP1	i 6	c 0.235
MDM2	SP1	i 8	c 0.862
HIF1A	SP1	i 6	c 0.962
HIF1A	SP1	i 7	c 0.9
HIF1A	SP1	i 8	c 0.342
BRCA1	PCNA	i 7	c 0.9
BRCA1	PCNA	i 8	c 0.658
KAT2B	CREBBP	i 6	c 0.991
KAT2B	CREBBP	i 7	c 0.9
KAT2B	CREBBP	i 8	c 0.949
CREBBP	CCND1	i 6	c 0.57
CREBBP	CCND1	i 7	c 0.9
CREBBP	CCND1	i 8	c 0.529
EGFR	LCP2	i 6	c 0.425
EGFR	LCP2	i 8	c 0.232
MDM2	CDK2	i 7	c 0.9
MDM2	CDK2	i 8	c 0.56
CDKN2A	IGF1R	i 6	c 0.11
CDKN2A	IGF1R	i 8	c 0.395
SRC	EGFR	i 4	c 0.703
SRC	EGFR	i 6	c 0.999
SRC	EGFR	i 7	c 0.9
SRC	EGFR	i 8	c 0.993
PCNA	H2AFX	i 5	c 0.112
PCNA	H2AFX	i 8	c 0.698
IGF1R	CDKN1A	i 8	c 0.472
EGFR	CCNE1	i 8	c 0.424
ATM	ERBB2	i 8	c 0.5
EGFR	CBL	i 6	c 0.999
EGFR	CBL	i 7	c 0.9
EGFR	CBL	i 8	c 0.876
CHEK2	PCNA	i 5	c 0.094
CHEK2	PCNA	i 6	c 0.562
CHEK2	PCNA	i 8	c 0.768
SP1	CDK2	i 6	c 0.601
SP1	CDK2	i 8	c 0.879
H2AFX	CDK4	i 5	c 0.08
H2AFX	CDK4	i 6	c 0.108
H2AFX	CDK4	i 7	c 0.9
H2AFX	CDK4	i 8	c 0.446
CREB1	ERBB2	i 8	c 0.599
CDK2	STAT3	i 6	c 0.149
CDK2	STAT3	i 8	c 0.577
GRB2	IGF1R	i 6	c 0.149
GRB2	IGF1R	i 7	c 0.9
GRB2	IGF1R	i 8	c 0.936
ERBB2	CCND1	i 6	c 0.57
ERBB2	CCND1	i 8	c 0.962
AKT1	ERBB2	i 4	c 0.619
AKT1	ERBB2	i 8	c 0.99
AKT1	CDK4	i 3	c 0.399
AKT1	CDK4	i 4	c 0.651
AKT1	CDK4	i 6	c 0.164
AKT1	CDK4	i 8	c 0.953
SP1	STAT3	i 6	c 0.912
SP1	STAT3	i 8	c 0.877
EP300	CCND1	i 6	c 0.809
EP300	CCND1	i 7	c 0.9
EP300	CCND1	i 8	c 0.65
CHEK2	EP300	i 6	c 0.093
CHEK2	EP300	i 8	c 0.502
CBL	LCP2	i 6	c 0.96
CBL	LCP2	i 7	c 0.9
CBL	LCP2	i 8	c 0.709
ATM	CCNE1	i 8	c 0.445
AKT1	CDKN1A	i 6	c 0.915
AKT1	CDKN1A	i 7	c 0.9
AKT1	CDKN1A	i 8	c 0.966
MDM2	CHEK2	i 6	c 0.914
MDM2	CHEK2	i 7	c 0.9
MDM2	CHEK2	i 8	c 0.923
MDM2	HIF1A	i 6	c 0.917
MDM2	HIF1A	i 7	c 0.9
MDM2	HIF1A	i 8	c 0.4
CREB1	SP1	i 6	c 0.107
CREB1	SP1	i 8	c 0.563
GRB2	FRS2	i 6	c 0.999
GRB2	FRS2	i 7	c 0.9
GRB2	FRS2	i 8	c 0.946
EPS15	SRC	i 6	c 0.168
EPS15	SRC	i 8	c 0.589
PCNA	CREBBP	i 8	c 0.412
EPS15	EGFR	i 6	c 0.996
EPS15	EGFR	i 7	c 0.9
EPS15	EGFR	i 8	c 0.977
ERBB2	PLCG1	i 6	c 0.88
ERBB2	PLCG1	i 7	c 0.8
ERBB2	PLCG1	i 8	c 0.36
USP7	STAT3	i 5	c 0.072
USP7	STAT3	i 6	c 0.576
USP7	STAT3	i 8	c 0.819
MAPK8	SIRT1	i 6	c 0.576
MAPK8	SIRT1	i 8	c 0.922
SOS1	CBL	i 6	c 0.574
SOS1	CBL	i 7	c 0.9
SOS1	CBL	i 8	c 0.492
IGF1R	STAT3	i 6	c 0.869
IGF1R	STAT3	i 8	c 0.915
MDM2	TP53	i 5	c 0.167
MDM2	TP53	i 6	c 0.999
MDM2	TP53	i 7	c 0.9
MDM2	TP53	i 8	c 0.981
SHC1	SRC	i 4	c 0.616
SHC1	SRC	i 6	c 0.594
SHC1	SRC	i 7	c 0.9
SHC1	SRC	i 8	c 0.982
PCNA	ATM	i 8	c 0.762
TP53	CDK2	i 6	c 0.982
TP53	CDK2	i 7	c 0.9
TP53	CDK2	i 8	c 0.979
IRS1	TP53	i 8	c 0.534
AKT1	CBL	i 8	c 0.72
FRS2	PLCG1	i 7	c 0.9
FRS2	PLCG1	i 8	c 0.3
MAPK8	CCND1	i 8	c 0.926
AKT1	KAT2B	i 6	c 0.595
AKT1	KAT2B	i 8	c 0.878
KAT2B	CDK4	i 6	c 0.15
KAT2B	CDK4	i 8	c 0.449
MDM2	AKT1	i 6	c 0.999
MDM2	AKT1	i 7	c 0.9
MDM2	AKT1	i 8	c 0.912
TP53	EP300	i 6	c 0.999
TP53	EP300	i 7	c 0.9
TP53	EP300	i 8	c 0.961
CDK2	CDKN1A	i 6	c 0.999
CDK2	CDKN1A	i 7	c 0.9
CDK2	CDKN1A	i 8	c 0.994
AKT1	LCP2	i 8	c 0.533
CREBBP	SIRT1	i 5	c 0.081
CREBBP	SIRT1	i 6	c 0.092
CREBBP	SIRT1	i 8	c 0.849
SHC1	HIF1A	i 6	c 0.576
SHC1	HIF1A	i 8	c 0.204
GRB2	AKT1	i 7	c 0.9
GRB2	AKT1	i 8	c 0.88
SRC	CBL	i 6	c 0.999
SRC	CBL	i 7	c 0.9
SRC	CBL	i 8	c 0.833
BRCA1	USP7	i 8	c 0.862
HIF1A	ATM	i 6	c 0.576
HIF1A	ATM	i 8	c 0.874
EGFR	CCND1	i 8	c 0.963
MDM2	CREBBP	i 6	c 0.96
MDM2	CREBBP	i 7	c 0.9
MDM2	CREBBP	i 8	c 0.312
AKT1	PLCG1	i 6	c 0.576
AKT1	PLCG1	i 8	c 0.547
PCNA	CDK2	i 5	c 0.697
PCNA	CDK2	i 6	c 0.972
PCNA	CDK2	i 7	c 0.9
PCNA	CDK2	i 8	c 0.977
CDKN2A	SRC	i 6	c 0.11
CDKN2A	SRC	i 8	c 0.508
SPRY2	EGFR	i 6	c 0.594
SPRY2	EGFR	i 7	c 0.9
SPRY2	EGFR	i 8	c 0.869
H2AFX	MAPK8	i 6	c 0.913
H2AFX	MAPK8	i 8	c 0.855
GRB2	LCP2	i 6	c 0.999
GRB2	LCP2	i 7	c 0.9
GRB2	LCP2	i 8	c 0.953
CHEK2	CDK2	i 4	c 0.713
CHEK2	CDK2	i 5	c 0.11
CHEK2	CDK2	i 6	c 0.26
CHEK2	CDK2	i 8	c 0.843
ATM	SIRT1	i 7	c 0.9
ATM	SIRT1	i 8	c 0.485
H2AFX	KAT2B	i 6	c 0.689
H2AFX	KAT2B	i 8	c 0.431
CDKN2A	EP300	i 6	c 0.566
CDKN2A	EP300	i 8	c 0.53
BRCA1	ERBB2	i 8	c 0.813
PCNA	MAPK8	i 8	c 0.5
BRCA1	HIF1A	i 6	c 0.576
BRCA1	HIF1A	i 8	c 0.399
SRC	STAT3	i 6	c 0.996
SRC	STAT3	i 7	c 0.9
SRC	STAT3	i 8	c 0.981
EPS15	CBL	i 7	c 0.9
EPS15	CBL	i 8	c 0.633
CHEK2	H2AFX	i 7	c 0.9
CHEK2	H2AFX	i 8	c 0.885
HIF1A	SIRT1	i 8	c 0.459
PCNA	CCND1	i 6	c 0.914
PCNA	CCND1	i 7	c 0.9
PCNA	CCND1	i 8	c 0.984
MAPK8	EGFR	i 4	c 0.622
MAPK8	EGFR	i 6	c 0.425
MAPK8	EGFR	i 8	c 0.939
CDKN2A	CDK4	i 6	c 0.999
CDKN2A	CDK4	i 7	c 0.9
CDKN2A	CDK4	i 8	c 0.993
CREB1	HIPK2	i 8	c 0.821
MDM2	EP300	i 6	c 0.982
MDM2	EP300	i 7	c 0.9
MDM2	EP300	i 8	c 0.585
CDK2	CDK4	i 3	c 0.524
CDK2	CDK4	i 4	c 0.922
CDK2	CDK4	i 6	c 0.109
CDK2	CDK4	i 7	c 0.9
CDK2	CDK4	i 8	c 0.971
CREB1	EP300	i 6	c 0.996
CREB1	EP300	i 7	c 0.9
CREB1	EP300	i 8	c 0.99
CDK2	EP300	i 6	c 0.768
CDK2	EP300	i 8	c 0.844
GAB2	LCP2	i 8	c 0.417
CREB1	EGFR	i 8	c 0.943
GRB2	IRS1	i 6	c 0.993
GRB2	IRS1	i 7	c 0.9
GRB2	IRS1	i 8	c 0.99
HIF1A	KAT2B	i 6	c 0.808
HIF1A	KAT2B	i 8	c 0.302
AKT1	CDK2	i 3	c 0.329
AKT1	CDK2	i 4	c 0.691
AKT1	CDK2	i 6	c 0.164
AKT1	CDK2	i 8	c 0.975
SHC1	SIRT1	i 8	c 0.824
CCNE1	CDKN1A	i 6	c 0.999
CCNE1	CDKN1A	i 7	c 0.9
CCNE1	CDKN1A	i 8	c 0.912
BRCA1	MDM2	i 6	c 0.235
BRCA1	MDM2	i 8	c 0.565
ATM	EP300	i 6	c 0.103
ATM	EP300	i 8	c 0.598
ERBB2	GAB1	i 8	c 0.742
FRS2	GAB1	i 6	c 0.576
FRS2	GAB1	i 7	c 0.9
FRS2	GAB1	i 8	c 0.842
CCNE1	CREBBP	i 6	c 0.576
CCNE1	CREBBP	i 8	c 0.285
ERBB2	STAT3	i 6	c 0.937
ERBB2	STAT3	i 8	c 0.976
EGFR	PLCG1	i 6	c 0.999
EGFR	PLCG1	i 7	c 0.9
EGFR	PLCG1	i 8	c 0.907
SP1	CDK4	i 6	c 0.589
SP1	CDK4	i 8	c 0.367
IRS1	EGFR	i 6	c 0.237
IRS1	EGFR	i 7	c 0.8
IRS1	EGFR	i 8	c 0.669
TP53	CDKN1A	i 6	c 0.999
TP53	CDKN1A	i 7	c 0.9
TP53	CDKN1A	i 8	c 0.981
CDK2	CCNE1	i 5	c 0.097
CDK2	CCNE1	i 6	c 0.999
CDK2	CCNE1	i 7	c 0.9
CDK2	CCNE1	i 8	c 0.987
IRS1	CBL	i 6	c 0.576
IRS1	CBL	i 7	c 0.9
IRS1	CBL	i 8	c 0.609
SP1	EP300	i 6	c 0.999
SP1	EP300	i 7	c 0.9
SP1	EP300	i 8	c 0.519
USP7	CDK2	i 6	c 0.309
USP7	CDK2	i 8	c 0.178
HIPK2	CDKN1A	i 6	c 0.679
HIPK2	CDKN1A	i 8	c 0.345
MAPK8	ERBB2	i 7	c 0.9
MAPK8	ERBB2	i 8	c 0.516
ERBB2	CCNE1	i 8	c 0.46
HIF1A	CDKN1A	i 7	c 0.9
HIF1A	CDKN1A	i 8	c 0.478
TP53	CREBBP	i 6	c 0.999
TP53	CREBBP	i 7	c 0.9
TP53	CREBBP	i 8	c 0.939
CREB1	SIRT1	i 6	c 0.43
CREB1	SIRT1	i 8	c 0.545
EGFR	EP300	i 8	c 0.498
SHC1	GRB2	i 6	c 0.999
SHC1	GRB2	i 7	c 0.9
SHC1	GRB2	i 8	c 0.995
IRS1	SIRT1	i 6	c 0.807
IRS1	SIRT1	i 8	c 0.472
MDM2	CDKN2A	i 6	c 0.999
MDM2	CDKN2A	i 7	c 0.9
MDM2	CDKN2A	i 8	c 0.962
GRB2	CBL	i 6	c 0.999
GRB2	CBL	i 7	c 0.9
GRB2	CBL	i 8	c 0.901
H2AFX	CDKN1A	i 8	c 0.634
SHC1	MAPK8	i 6	c 0.57
SHC1	MAPK8	i 7	c 0.9
SHC1	MAPK8	i 8	c 0.648
GRB2	CCND1	i 8	c 0.518
CDKN2A	SP1	i 6	c 0.598
CDKN2A	SP1	i 7	c 0.9
CDKN2A	SP1	i 8	c 0.32
MDM2	EGFR	i 7	c 0.8
MDM2	EGFR	i 8	c 0.513
