23	periphery	Shewanella colwelliana	Shewanella colwelliana	Bacteria	RefSeq	4003
48	core	Archangium gephyra	Archangium gephyra	Bacteria	RefSeq	10121
52	core	Chondromyces crocatus	Chondromyces crocatus	Bacteria	RefSeq	8339
54	core	Nannocystis exedens	Nannocystis exedens	Bacteria	RefSeq	9154
69	core	Lysobacter enzymogenes	Lysobacter enzymogenes	Bacteria	RefSeq	5529
140	periphery	Borrelia hermsii	Borrelia hermsii	Bacteria	RefSeq	819
162	core	Treponema phagedenis	Treponema phagedenis	Bacteria	RefSeq	3133
163	periphery	Treponema bryantii	Treponema bryantii	Bacteria	RefSeq	2751
183	core	Leptonema illini	Leptonema illini	Bacteria	RefSeq	4155
192	core	Azospirillum brasilense	Azospirillum brasilense	Bacteria	RefSeq	2763
195	core	Campylobacter coli	Campylobacter coli	Bacteria	RefSeq	2155
202	periphery	Campylobacter mucosalis	Campylobacter mucosalis	Bacteria	RefSeq	1514
211	periphery	Helicobacter sp. CLO-3	Helicobacter sp. CLO3	Bacteria	RefSeq	1882
216	periphery	Helicobacter muridarum	Helicobacter muridarum	Bacteria	RefSeq	1721
238	core	Elizabethkingia meningoseptica	Elizabethkingia meningoseptica	Bacteria	RefSeq	3520
244	periphery	Planomicrobium okeanokoites	Planomicrobium okeanokoites	Bacteria	RefSeq	3428
246	periphery	Chryseobacterium balustinum	Chryseobacterium balustinum	Bacteria	RefSeq	4484
253	periphery	Chryseobacterium indologenes	Chryseobacterium indologenes	Bacteria	RefSeq	4785
254	periphery	Chryseobacterium indoltheticum	Chryseobacterium indoltheticum	Bacteria	RefSeq	3894
256	core	Myroides odoratus	Myroides odoratus	Bacteria	RefSeq	3570
276	periphery	Thermus filiformis	Thermus filiformis	Bacteria	RefSeq	2211
292	core	Burkholderia cepacia	Burkholderia cepacia	Bacteria	RefSeq	6329
293	core	Brevundimonas diminuta	Brevundimonas diminuta	Bacteria	RefSeq	3063
294	core	Pseudomonas fluorescens	Pseudomonas fluorescens	Bacteria	RefSeq	5829
296	periphery	Pseudomonas fragi	Pseudomonas fragi	Bacteria	RefSeq	4364
301	periphery	Pseudomonas oleovorans	Pseudomonas oleovorans	Bacteria	RefSeq	4660
359	core	Agrobacterium rhizogenes	Agrobacterium rhizogenes	Bacteria	RefSeq	4559
375	core	Bradyrhizobium japonicum	Bradyrhizobium japonicum	Bacteria	RefSeq	9323
376	periphery	Bradyrhizobium sp.	Bradyrhizobium sp.	Bacteria	RefSeq	7380
381	core	Mesorhizobium loti	Mesorhizobium loti	Bacteria	RefSeq	6073
382	core	Sinorhizobium meliloti	Sinorhizobium meliloti	Bacteria	RefSeq	3371
394	periphery	Sinorhizobium fredii NGR234	Sinorhizobium fredii NGR234	Bacteria	RefSeq	3633
396	periphery	Rhizobium phaseoli	Rhizobium phaseoli	Bacteria	RefSeq	4270
435	core	Acetobacter aceti	Acetobacter aceti	Bacteria	RefSeq	3200
447	core	Fluoribacter bozemanae	Fluoribacter bozemanae	Bacteria	RefSeq	3634
448	periphery	Legionella erythra	Legionella erythra	Bacteria	RefSeq	2931
449	periphery	Legionella hackeliae	Legionella hackeliae	Bacteria	RefSeq	3078
451	core	Tatlockia micdadei	Tatlockia micdadei	Bacteria	RefSeq	2755
452	periphery	Legionella spiritensis	Legionella spiritensis	Bacteria	RefSeq	2909
453	periphery	Legionella feeleii	Legionella feeleii	Bacteria	RefSeq	3273
454	periphery	Legionella israelensis	Legionella israelensis	Bacteria	RefSeq	2821
455	periphery	Legionella jamestowniensis	Legionella jamestowniensis	Bacteria	RefSeq	2938
456	periphery	Legionella jordanis	Legionella jordanis	Bacteria	RefSeq	2787
458	periphery	Legionella rubrilucens	Legionella rubrilucens	Bacteria	RefSeq	2847
460	periphery	Legionella steigerwaltii	Legionella steigerwaltii	Bacteria	RefSeq	3449
464	periphery	Fluoribacter gormanii	Fluoribacter gormanii	Bacteria	RefSeq	3281
466	periphery	Legionella maceachernii	Legionella maceachernii	Bacteria	RefSeq	3191
471	core	Acinetobacter calcoaceticus	Acinetobacter calcoaceticus	Bacteria	RefSeq	3794
476	core	Moraxella bovis	Moraxella bovis	Bacteria	RefSeq	2595
477	periphery	Moraxella lacunata	Moraxella lacunata	Bacteria	RefSeq	2412
478	periphery	Moraxella nonliquefaciens	Moraxella nonliquefaciens	Bacteria	RefSeq	2034
484	periphery	Neisseria flavescens	Neisseria flavescens	Bacteria	RefSeq	1996
486	core	Neisseria lactamica	Neisseria lactamica	Bacteria	RefSeq	2062
490	periphery	Neisseria sicca	Neisseria sicca	Bacteria	RefSeq	2416
493	periphery	Neisseria canis	Neisseria canis	Bacteria	RefSeq	2336
504	core	Kingella kingae	Kingella kingae	Bacteria	RefSeq	2229
511	core	Alcaligenes faecalis	Alcaligenes faecalis	Bacteria	RefSeq	3738
526	core	Acidiphilium rubrum	Acidiphilium rubrum	Bacteria	RefSeq	3692
539	core	Eikenella corrodens	Eikenella corrodens	Bacteria	RefSeq	2125
548	core	Klebsiella aerogenes	Klebsiella aerogenes	Bacteria	RefSeq	5247
549	core	Pantoea agglomerans	Pantoea agglomerans	Bacteria	RefSeq	3594
569	periphery	Hafnia alvei	Hafnia alvei	Bacteria	RefSeq	3964
571	periphery	Klebsiella oxytoca	Klebsiella oxytoca	Bacteria	RefSeq	5626
580	periphery	Kluyvera cryocrescens	Kluyvera cryocrescens	Bacteria	RefSeq	4398
582	periphery	Morganella morganii	Morganella morganii	Bacteria	RefSeq	3553
584	core	Proteus mirabilis	Proteus mirabilis	Bacteria	RefSeq	3853
585	periphery	Proteus vulgaris	Proteus vulgaris	Bacteria	RefSeq	3592
587	periphery	Providencia rettgeri	Providencia rettgeri	Bacteria	RefSeq	4381
588	periphery	Providencia stuartii	Providencia stuartii	Bacteria	RefSeq	3825
614	periphery	Serratia liquefaciens	Serratia liquefaciens	Bacteria	RefSeq	4805
631	periphery	Yersinia intermedia	Yersinia intermedia	Bacteria	RefSeq	4300
636	core	Edwardsiella tarda	Edwardsiella tarda	Bacteria	RefSeq	3091
646	periphery	Aeromonas sobria	Aeromonas sobria	Bacteria	RefSeq	4054
649	periphery	Aeromonas eucrenophila	Aeromonas eucrenophila	Bacteria	RefSeq	4062
650	periphery	Aeromonas jandaei	Aeromonas jandaei	Bacteria	RefSeq	4168
652	periphery	Aeromonas schubertii	Aeromonas schubertii	Bacteria	RefSeq	4358
654	periphery	Aeromonas veronii	Aeromonas veronii	Bacteria	RefSeq	4244
659	periphery	Photobacterium phosphoreum	Photobacterium phosphoreum	Bacteria	RefSeq	3981
663	periphery	Vibrio alginolyticus	Vibrio alginolyticus	Bacteria	RefSeq	4664
669	periphery	Vibrio harveyi	Vibrio harveyi	Bacteria	RefSeq	5249
670	core	Vibrio parahaemolyticus	Vibrio parahaemolyticus	Bacteria	RefSeq	4139
672	periphery	Vibrio vulnificus	Vibrio vulnificus	Bacteria	RefSeq	4501
673	periphery	Grimontia hollisae	Grimontia hollisae	Bacteria	RefSeq	3370
674	periphery	Vibrio mimicus	Vibrio mimicus	Bacteria	RefSeq	3925
676	periphery	Vibrio fluvialis	Vibrio fluvialis	Bacteria	RefSeq	4402
