10245	Vaccinia virus (strain Western Reserve)	Vaccinia virus	Vaccinia
10255	Variola virus (isolate Human/India/Ind3/1967)	Variola virus (Smallpox)	Smallpox
10258	Orf virus (strain Goat/Texas/SA00/2000)	Orf virus	Orf virus
10261	Fowlpox virus (strain NVSL)	Fowlpox virus (FPV)	FPV
10271	Rabbit fibroma virus (strain Kasza)	Rabbit fibroma virus	Rabbit fibroma
10273	Myxoma virus (strain Lausanne)	Myxoma virus (MYXV)	MYXV
10276	Swinepox virus (strain Swine/Nebraska/17077-99/1999)	Swinepox virus (SWPV)	SWPV
10279	Molluscum contagiosum virus subtype 1	Molluscum contagiosum virus (MCVI)	MCVI
10298	Human herpesvirus 1 (strain 17)	Human herpesvirus 1 (HSV-1)	HSV-1
10310	Human herpesvirus 2 (strain HG52)	Human herpesvirus 2 (HSV-2)	HSV-2
10335	Varicella-zoster virus (strain Dumas)	Varicella-zoster virus (VZV)	VZV
10359	Human cytomegalovirus (strain Merlin)	Human cytomegalovirus (HCMV)	HCMV
10366	Murid herpesvirus 1 (strain Smith)	Murid herpesvirus 1 (MCMV)	MCMV
103722	Grapevine fleck virus (isolate Italy/MT48)	Grapevine fleck virus (GFkV)	GFkV
10376	Epstein-Barr virus (strain B95-8)	Epstein-Barr virus (EBV)	EBV
10381	Saimiriine herpesvirus 2 (strain 11)	Saimiriine herpesvirus 2	Saimiri
10390	Gallid herpesvirus 2 (strain Chicken/Md5/ATCC VR-987)	Gallid herpesvirus 2	Gallid herpes
10407	Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-)	Hepatitis B virus (HBV-C)	HBV-C
10493	Frog virus 3 (isolate Goorha)	Frog virus 3 (FV-3)	FV-3
10497	African swine fever virus (strain Badajoz 1971 Vero-adapted)	African swine fever virus (ASFV)	ASFV
10506	Paramecium bursaria Chlorella virus 1	Paramecium bursaria Chlorella virus 1 (PBCV-1)	PBCV-1
10561	Bovine papillomavirus type 3	Bovine papillomavirus type 3	Bovine papillomavirus 3
10567	Mastomys natalensis papillomavirus (isolate African multimammate rat)	Mastomys natalensis papillomavirus (MnPV)	MnPV
10623	Cottontail rabbit papillomavirus (strain Kansas)	Cottontail rabbit papillomavirus (CRPV)	CRPV
10633	Simian virus 40	Simian virus 40 (SV40)	SV40
10641	Cauliflower mosaic virus (strain Strasbourg)	Cauliflower mosaic virus (CaMV)	CaMV
10651	Soybean chlorotic mottle virus	Soybean chlorotic mottle virus	Soybean chlorotic mottle virus
10658	Enterobacteria phage PRD1	Enterobacteria phage PRD1	PRD1
10661	Pseudoalteromonas phage PM2	Pseudoalteromonas phage PM2	PM2
10677	Enterobacteria phage Mu	Enterobacteria phage Mu	Mu
10678	Enterobacteria phage P1	Enterobacteria phage P1	P1
10679	Enterobacteria phage P2	Enterobacteria phage P2	P2
10710	Enterobacteria phage lambda	Enterobacteria phage lambda	Lambda
10719	Streptomyces phage phiC31	Streptomyces phage phiC31 (phi-C31)	phi-C31
10726	Escherichia phage T5	Escherichia phage T5	T5
10752	Enterobacteria phage N4	Enterobacteria phage N4	N4
