## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI
394	periphery	Sinorhizobium fredii NGR234	Sinorhizobium fredii NGR234
882	periphery	Desulfovibrio vulgaris Hildenborough	Desulfovibrio vulgaris str. Hildenborough
883	periphery	Desulfovibrio vulgaris Miyazaki	Desulfovibrio vulgaris str. 'Miyazaki F'
1140	periphery	Synechococcus elongatus PCC7942	Synechococcus elongatus PCC 7942
1148	core	Synechocystis sp. PCC6803	Synechocystis sp. PCC 6803
2110	periphery	Mycoplasma agalactiae	Mycoplasma agalactiae
2850	core	Phaeodactylum tricornutum	Phaeodactylum tricornutum
3055	core	Chlamydomonas reinhardtii	Chlamydomonas reinhardtii
3218	core	Physcomitrella patens	Physcomitrella patens
3694	core	Populus trichocarpa	Populus trichocarpa
3702	core	Arabidopsis thaliana	Arabidopsis thaliana
3711	core	Brassica rapa	Brassica rapa
3847	core	Glycine max	Glycine max
4081	core	Solanum lycopersicum	Solanum lycopersicum
4113	core	Solanum tuberosum	Solanum tuberosum
4513	core	Hordeum vulgare	Hordeum vulgare
4533	periphery	Oryza brachyantha	Oryza brachyantha
4538	periphery	Oryza glaberrima	Oryza glaberrima
4555	core	Setaria italica	Setaria italica
4558	periphery	Sorghum bicolor	Sorghum bicolor
4577	core	Zea mays	Zea mays
4641	core	Musa acuminata	Musa acuminata
4787	core	Phytophthora infestans	Phytophthora infestans
4896	core	Schizosaccharomyces pombe	Schizosaccharomyces pombe
4929	periphery	Pichia guilliermondii	Pichia guilliermondii
4932	core	Saccharomyces cerevisiae	Saccharomyces cerevisiae
4950	core	Torulaspora delbrueckii	Torulaspora delbrueckii
4952	core	Yarrowia lipolytica	Yarrowia lipolytica
4956	periphery	Zygosaccharomyces rouxii	Zygosaccharomyces rouxii
5022	core	Leptosphaeria maculans	Leptosphaeria maculans
5057	periphery	Aspergillus clavatus	Aspergillus clavatus
5059	periphery	Aspergillus flavus	Aspergillus flavus
5061	periphery	Aspergillus niger	Aspergillus niger
5062	periphery	Aspergillus oryzae	Aspergillus oryzae
