23	periphery	Shewanella colwelliana	Shewanella colwelliana
48	core	Archangium gephyra	Archangium gephyra
52	core	Chondromyces crocatus	Chondromyces crocatus
54	core	Nannocystis exedens	Nannocystis exedens
69	core	Lysobacter enzymogenes	Lysobacter enzymogenes
140	periphery	Borrelia hermsii	Borrelia hermsii
162	core	Treponema phagedenis	Treponema phagedenis
163	periphery	Treponema bryantii	Treponema bryantii
183	core	Leptonema illini	Leptonema illini
192	core	Azospirillum brasilense	Azospirillum brasilense
195	core	Campylobacter coli	Campylobacter coli
202	periphery	Campylobacter mucosalis	Campylobacter mucosalis
211	periphery	Helicobacter sp. CLO-3	Helicobacter sp. CLO3
216	periphery	Helicobacter muridarum	Helicobacter muridarum
238	core	Elizabethkingia meningoseptica	Elizabethkingia meningoseptica
244	periphery	Planomicrobium okeanokoites	Planomicrobium okeanokoites
246	periphery	Chryseobacterium balustinum	Chryseobacterium balustinum
253	periphery	Chryseobacterium indologenes	Chryseobacterium indologenes
254	periphery	Chryseobacterium indoltheticum	Chryseobacterium indoltheticum
256	core	Myroides odoratus	Myroides odoratus
276	periphery	Thermus filiformis	Thermus filiformis
292	core	Burkholderia cepacia	Burkholderia cepacia
293	core	Brevundimonas diminuta	Brevundimonas diminuta
294	core	Pseudomonas fluorescens	Pseudomonas fluorescens
296	periphery	Pseudomonas fragi	Pseudomonas fragi
301	periphery	Pseudomonas oleovorans	Pseudomonas oleovorans
359	core	Agrobacterium rhizogenes	Agrobacterium rhizogenes
375	core	Bradyrhizobium japonicum	Bradyrhizobium japonicum
376	periphery	Bradyrhizobium sp.	Bradyrhizobium sp.
381	core	Mesorhizobium loti	Mesorhizobium loti
382	core	Sinorhizobium meliloti	Sinorhizobium meliloti
394	periphery	Sinorhizobium fredii NGR234	Sinorhizobium fredii NGR234
396	periphery	Rhizobium phaseoli	Rhizobium phaseoli
435	core	Acetobacter aceti	Acetobacter aceti
447	core	Fluoribacter bozemanae	Fluoribacter bozemanae
448	periphery	Legionella erythra	Legionella erythra
449	periphery	Legionella hackeliae	Legionella hackeliae
451	core	Tatlockia micdadei	Tatlockia micdadei
452	periphery	Legionella spiritensis	Legionella spiritensis
453	periphery	Legionella feeleii	Legionella feeleii
454	periphery	Legionella israelensis	Legionella israelensis
