## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI	interaction_partners	color
394	periphery	Sinorhizobium fredii NGR234	Sinorhizobium fredii NGR234		#92B4AF
882	periphery	Desulfovibrio vulgaris Hildenborough	Desulfovibrio vulgaris str. Hildenborough		#92B4AF
883	periphery	Desulfovibrio vulgaris Miyazaki	Desulfovibrio vulgaris str. 'Miyazaki F'		#92B4AF
1140	periphery	Synechococcus elongatus PCC7942	Synechococcus elongatus PCC 7942		#92B4AF
1148	core	Synechocystis sp. PCC6803	Synechocystis sp. PCC 6803		#92B4AF
2110	periphery	Mycoplasma agalactiae	Mycoplasma agalactiae		#92B4AF
2850	core	Phaeodactylum tricornutum	Phaeodactylum tricornutum		#92B4AF
3055	core	Chlamydomonas reinhardtii	Chlamydomonas reinhardtii		#92B4AF
3218	core	Physcomitrella patens	Physcomitrella patens		#92B4AF
3694	core	Populus trichocarpa	Populus trichocarpa		#92B4AF
3702	core	Arabidopsis thaliana	Arabidopsis thaliana	10641	#92B4AF
3711	core	Brassica rapa	Brassica rapa	12183	#92B4AF
3847	core	Glycine max	Glycine max	12317,12321,12139,10651	#92B4AF
4081	core	Solanum lycopersicum	Solanum lycopersicum	10840,370833,591166,12295,116056,49267,12321,11613,12145,12216	#92B4AF
4113	core	Solanum tuberosum	Solanum tuberosum	10840,370833,12167,12321,37128,12216,12045,12183	#92B4AF
4513	core	Hordeum vulgare	Hordeum vulgare	28375,12465,12040,12327,10821,12331	#92B4AF
4533	periphery	Oryza brachyantha	Oryza brachyantha		#92B4AF
4538	periphery	Oryza glaberrima	Oryza glaberrima	10821	#92B4AF
4555	core	Setaria italica	Setaria italica	28355,12331	#92B4AF
4558	periphery	Sorghum bicolor	Sorghum bicolor	279896,28355	#92B4AF
4577	core	Zea mays	Zea mays	279896,59749,12040,10821,12138,12331,137556	#92B4AF
4641	core	Musa acuminata	Musa acuminata		#92B4AF
4787	core	Phytophthora infestans	Phytophthora infestans		#92B4AF
4896	core	Schizosaccharomyces pombe	Schizosaccharomyces pombe		#92B4AF
4929	periphery	Pichia guilliermondii	Pichia guilliermondii		#92B4AF
4932	core	Saccharomyces cerevisiae	Saccharomyces cerevisiae	11008	#92B4AF
4950	core	Torulaspora delbrueckii	Torulaspora delbrueckii		#92B4AF
4952	core	Yarrowia lipolytica	Yarrowia lipolytica		#92B4AF
4956	periphery	Zygosaccharomyces rouxii	Zygosaccharomyces rouxii		#92B4AF
5022	core	Leptosphaeria maculans	Leptosphaeria maculans		#92B4AF
5057	periphery	Aspergillus clavatus	Aspergillus clavatus		#92B4AF
5059	periphery	Aspergillus flavus	Aspergillus flavus		#92B4AF
5061	periphery	Aspergillus niger	Aspergillus niger		#92B4AF
5062	periphery	Aspergillus oryzae	Aspergillus oryzae		#92B4AF
5085	core	Aspergillus fumigatus	Aspergillus fumigatus		#92B4AF
5141	core	Neurospora crassa	Neurospora crassa		#92B4AF
5180	periphery	Sclerotinia sclerotiorum	Sclerotinia sclerotiorum		#92B4AF
5270	core	Ustilago maydis	Ustilago maydis		#92B4AF
5297	core	Puccinia graminis	Puccinia graminis		#92B4AF
5306	periphery	Phanerochaete chrysosporium	Phanerochaete chrysosporium		#92B4AF
5507	periphery	Fusarium oxysporum	Fusarium oxysporum		#92B4AF
5518	core	Gibberella zeae	Gibberella zeae		#92B4AF
5661	periphery	Leishmania donovani	Leishmania donovani		#92B4AF
5664	periphery	Leishmania major	Leishmania major	58103	#92B4AF
5691	periphery	Trypanosoma brucei	Trypanosoma brucei		#92B4AF
5722	core	Trichomonas vaginalis	Trichomonas vaginalis	674953	#92B4AF
5759	periphery	Entamoeba histolytica	Entamoeba histolytica		#92B4AF
5762	periphery	Naegleria gruberi	Naegleria gruberi		#92B4AF
5786	core	Dictyostelium purpureum	Dictyostelium purpureum		#92B4AF
5811	periphery	Toxoplasma gondii	Toxoplasma gondii		#92B4AF
5821	periphery	Plasmodium berghei	Plasmodium berghei		#92B4AF
5825	periphery	Plasmodium chabaudi	Plasmodium chabaudi		#92B4AF
5833	core	Plasmodium falciparum	Plasmodium falciparum		#92B4AF
