## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI	interaction_partners	color
287	core	Pseudomonas aeruginosa	Pseudomonas aeruginosa		#93B4AF
292	core	Burkholderia cepacia	Burkholderia cepacia		#93B4AF
301	core	Pseudomonas oleovorans	Pseudomonas oleovorans		#93B4AF
340	core	Xanthomonas campestris pv. campestris	Xanthomonas campestris		#93B4AF
359	core	Agrobacterium rhizogenes	Agrobacterium rhizogenes		#93B4AF
394	core	Sinorhizobium fredii NGR234	Sinorhizobium fredii NGR234		#93B4AF
470	core	Acinetobacter baumannii	Acinetobacter baumannii		#93B4AF
511	core	Alcaligenes faecalis	Alcaligenes faecalis		#93B4AF
549	core	Pantoea agglomerans	Pantoea agglomerans		#93B4AF
571	periphery	Klebsiella oxytoca	Klebsiella oxytoca		#93B4AF
573	core	Klebsiella pneumoniae	Klebsiella pneumoniae		#93B4AF
585	core	Proteus vulgaris	Proteus vulgaris		#93B4AF
633	core	Yersinia pseudotuberculosis	Yersinia pseudotuberculosis		#93B4AF
672	core	Vibrio vulnificus	Vibrio vulnificus		#93B4AF
747	core	Pasteurella multocida	Pasteurella multocida		#93B4AF
758	periphery	Pasteurella pneumotropica	Pasteurella pneumotropica		#93B4AF
813	core	Chlamydia trachomatis	Chlamydia trachomatis		#93B4AF
827	periphery	Campylobacter ureolyticus	Campylobacter ureolyticus		#93B4AF
882	core	Desulfovibrio vulgaris str. Hildenborough	Desulfovibrio vulgaris Hildenborough		#93B4AF
883	periphery	Desulfovibrio vulgaris str. 'Miyazaki F'	Desulfovibrio vulgaris Miyazaki		#93B4AF
991	core	Flavobacterium hydatis	Flavobacterium hydatis		#93B4AF
1044	periphery	Erythrobacter longus	Erythrobacter longus		#93B4AF
1140	core	Synechococcus elongatus PCC 7942	Synechococcus elongatus PCC7942		#93B4AF
1147	periphery	Synechocystis sp. PCC 6714	Synechocystis sp. PCC6714		#93B4AF
1148	core	Synechocystis sp. PCC 6803	Synechocystis sp. PCC6803		#93B4AF
1246	core	Leuconostoc lactis	Leuconostoc lactis		#93B4AF
1274	core	Dermacoccus nishinomiyaensis	Dermacoccus nishinomiyaensis		#93B4AF
1280	core	Staphylococcus aureus	Staphylococcus aureus		#93B4AF
