## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI	interaction_partners	color
287	core	Pseudomonas aeruginosa	Pseudomonas aeruginosa	348604,10710	#93B4AF
292	core	Burkholderia cepacia	Burkholderia cepacia		#93B4AF
301	core	Pseudomonas oleovorans	Pseudomonas oleovorans		#93B4AF
340	core	Xanthomonas campestris pv. campestris	Xanthomonas campestris		#93B4AF
359	core	Agrobacterium rhizogenes	Agrobacterium rhizogenes		#93B4AF
394	core	Sinorhizobium fredii NGR234	Sinorhizobium fredii NGR234		#93B4AF
470	core	Acinetobacter baumannii	Acinetobacter baumannii		#93B4AF
511	core	Alcaligenes faecalis	Alcaligenes faecalis		#93B4AF
549	core	Pantoea agglomerans	Pantoea agglomerans		#93B4AF
571	periphery	Klebsiella oxytoca	Klebsiella oxytoca		#93B4AF
573	core	Klebsiella pneumoniae	Klebsiella pneumoniae		#93B4AF
585	core	Proteus vulgaris	Proteus vulgaris		#93B4AF
633	core	Yersinia pseudotuberculosis	Yersinia pseudotuberculosis		#93B4AF
672	core	Vibrio vulnificus	Vibrio vulnificus		#93B4AF
747	core	Pasteurella multocida	Pasteurella multocida		#93B4AF
758	periphery	Pasteurella pneumotropica	Pasteurella pneumotropica		#93B4AF
813	core	Chlamydia trachomatis	Chlamydia trachomatis		#93B4AF
827	periphery	Campylobacter ureolyticus	Campylobacter ureolyticus		#93B4AF
882	core	Desulfovibrio vulgaris str. Hildenborough	Desulfovibrio vulgaris Hildenborough		#93B4AF
883	periphery	Desulfovibrio vulgaris str. 'Miyazaki F'	Desulfovibrio vulgaris Miyazaki		#93B4AF
991	core	Flavobacterium hydatis	Flavobacterium hydatis		#93B4AF
1044	periphery	Erythrobacter longus	Erythrobacter longus		#93B4AF
1140	core	Synechococcus elongatus PCC 7942	Synechococcus elongatus PCC7942		#93B4AF
1147	periphery	Synechocystis sp. PCC 6714	Synechocystis sp. PCC6714		#93B4AF
1148	core	Synechocystis sp. PCC 6803	Synechocystis sp. PCC6803		#93B4AF
1246	core	Leuconostoc lactis	Leuconostoc lactis		#93B4AF
1274	core	Dermacoccus nishinomiyaensis	Dermacoccus nishinomiyaensis		#93B4AF
1280	core	Staphylococcus aureus	Staphylococcus aureus		#93B4AF
1288	core	Staphylococcus xylosus	Staphylococcus xylosus		#93B4AF
1314	core	Streptococcus pyogenes	Streptococcus pyogenes		#93B4AF
1346	periphery	Streptococcus iniae	Streptococcus iniae		#93B4AF
1396	core	Bacillus cereus	Bacillus cereus		#93B4AF
1405	periphery	Bacillus mycoides	Bacillus mycoides		#93B4AF
1507	periphery	Clostridium sp. ATCC 29733	Clostridium sp. ATCC 29733		#93B4AF
1511	periphery	[Clostridium] sticklandii	Clostridium sticklandii		#93B4AF
1605	core	Lactobacillus animalis	Lactobacillus animalis		#93B4AF
1680	core	Bifidobacterium adolescentis	Bifidobacterium adolescentis		#93B4AF
1687	periphery	Bifidobacterium coryneforme	Bifidobacterium coryneforme		#93B4AF
1688	periphery	Bifidobacterium cuniculi	Bifidobacterium cuniculi		#93B4AF
1690	periphery	Bifidobacterium pseudolongum subsp. globosum	Bifidobacterium pseudolongum globosum		#93B4AF
1692	periphery	Bifidobacterium magnum	Bifidobacterium magnum		#93B4AF
1693	periphery	Bifidobacterium minimum	Bifidobacterium minimum		#93B4AF
1713	core	Oerskovia turbata	Oerskovia turbata		#93B4AF
1719	core	Corynebacterium pseudotuberculosis	Corynebacterium pseudotuberculosis		#93B4AF
1828	periphery	Rhodococcus fascians	Rhodococcus fascians		#93B4AF
1869	periphery	Actinoplanes utahensis	Actinoplanes utahensis		#93B4AF
1894	core	Streptomyces aureofaciens	Streptomyces aureofaciens		#93B4AF
1896	periphery	Streptomyces bikiniensis	Streptomyces bikiniensis		#93B4AF
1906	core	Streptomyces fradiae	Streptomyces fradiae		#93B4AF
1907	periphery	Streptomyces glaucescens	Streptomyces glaucescens		#93B4AF
1944	periphery	Streptomyces halstedii	Streptomyces halstedii		#93B4AF
1957	periphery	Streptomyces sclerotialus	Streptomyces sclerotialus		#93B4AF
1961	periphery	Streptomyces virginiae	Streptomyces virginiae		#93B4AF
1968	periphery	Streptomyces cellulosae	Streptomyces cellulosae		#93B4AF
1996	periphery	Microtetraspora glauca	Microtetraspora glauca		#93B4AF
2002	periphery	Streptosporangium amethystogenes	Streptosporangium amethystogenes		#93B4AF
2045	core	Pimelobacter simplex	Pimelobacter simplex		#93B4AF
2055	core	Gordonia terrae	Gordonia terrae		#93B4AF
2074	periphery	Pseudonocardia autotrophica	Pseudonocardia autotrophica		#93B4AF
2110	core	Mycoplasma agalactiae	Mycoplasma agalactiae		#93B4AF
2113	core	Mycoplasma californicum	Mycoplasma californicum		#93B4AF
2325	core	Thermoanaerobacter kivui	Thermoanaerobacter kivui		#93B4AF
2340	core	Solemya velum gill symbiont	Solemya velum		#93B4AF
2342	periphery	Candidatus Sodalis pierantonius str. SOPE	Sodalis pierantonius		#93B4AF
2423	core	Fervidobacterium islandicum	Fervidobacterium islandicum		#93B4AF
2711	periphery	Citrus sinensis	Citrus sinensis		#93B4AF
2754	periphery	Synergistes jonesii	Synergistes jonesii		#93B4AF
2850	core	Phaeodactylum tricornutum	Phaeodactylum tricornutum		#93B4AF
2880	core	Ectocarpus siliculosus	Ectocarpus siliculosus		#93B4AF
2903	core	Emiliania huxleyi	Emiliania huxleyi		#93B4AF
3055	core	Chlamydomonas reinhardtii	Chlamydomonas reinhardtii		#93B4AF
3067	periphery	Volvox carteri	Volvox carteri		#93B4AF
3075	periphery	Auxenochlorella protothecoides	Auxenochlorella protothecoides		#93B4AF
3218	core	Physcomitrella patens	Physcomitrella patens		#93B4AF
3641	core	Theobroma cacao	Theobroma cacao		#93B4AF
3649	periphery	Carica papaya	Carica papaya		#93B4AF
3656	core	Cucumis melo	Cucumis melo		#93B4AF
3659	periphery	Cucumis sativus	Cucumis sativus		#93B4AF
3694	core	Populus trichocarpa	Populus trichocarpa		#93B4AF
3702	core	Arabidopsis thaliana	Arabidopsis thaliana	12305,138950,12167,10840,12104,10641,220340,12216,10298,37128	#93B4AF
3711	core	Brassica rapa	Brassica rapa	12183	#93B4AF
3712	periphery	Brassica oleracea	Brassica oleracea		#93B4AF
3750	core	Malus domestica	Malus domestica		#93B4AF
3760	periphery	Prunus persica	Prunus persica		#93B4AF
3827	periphery	Cicer arietinum	Cicer arietinum		#93B4AF
3847	core	Glycine max	Glycine max	12139,12321,10651,12317	#93B4AF
3880	periphery	Medicago truncatula	Medicago truncatula		#93B4AF
3885	core	Phaseolus vulgaris	Phaseolus vulgaris		#93B4AF
