#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
CDKN2A	CDKN1A	1859838	1843736	ENSP00000394932	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.808	0.900	0.973	0.999
H2AFX	AKT1	1856252	1846136	ENSP00000364310	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.507	0.507
CDKN2A	AKT1	1859838	1846136	ENSP00000394932	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.104	0.000	0.675	0.696
HIPK2	ATM	1859047	1846577	ENSP00000385571	ENSP00000278616	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.472	0.472
SP1	KAT2B	1851138	1845408	ENSP00000329357	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.111	0.000	0.878	0.887
CDKN2A	HIF1A	1859838	1852062	ENSP00000394932	ENSP00000338018	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.404	0.736
GAB2	FRS2	1854264	1848041	ENSP00000354952	ENSP00000299293	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.238	0.920
MDM2	KAT2B	1861282	1845408	ENSP00000417281	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.915	0.900	0.451	0.994
ATM	AKT1	1846577	1846136	ENSP00000278616	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.686	0.686
TP53	KAT2B	1846083	1845408	ENSP00000269305	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.963	0.999
SP1	EGFR	1851138	1846445	ENSP00000329357	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.407	0.407
CREB1	STAT3	1859295	1845584	ENSP00000387699	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.691	0.691
CREB1	SOS1	1859295	1858968	ENSP00000387699	ENSP00000384675	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.278	0.924
EGFR	CDKN1A	1846445	1843736	ENSP00000275493	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.807	0.808
CDKN1A	CCND1	1843736	1843117	ENSP00000244741	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.974	0.999
AKT1	GAB1	1846136	1845263	ENSP00000270202	ENSP00000262995	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.278	0.924
HIF1A	STAT3	1852062	1845584	ENSP00000338018	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.808	0.000	0.913	0.982
MAPK8	SP1	1853988	1851138	ENSP00000353483	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.592	0.900	0.864	0.993
BRCA1	CREB1	1861387	1859295	ENSP00000418960	ENSP00000387699	0.000	0.000	0.000	0.000	0.000	0.812	0.000	0.350	0.872
CHEK2	CCNE1	1857546	1845190	ENSP00000372023	ENSP00000262643	0.000	0.000	0.000	0.000	0.184	0.000	0.000	0.556	0.622
SRC	GRB2	1853652	1852164	ENSP00000350941	ENSP00000339007	0.000	0.000	0.000	0.768	0.114	0.949	0.900	0.988	0.996
STAT3	SIRT1	1845584	1842473	ENSP00000264657	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.570	0.000	0.895	0.953
GAB2	STAT3	1854264	1845584	ENSP00000354952	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.835	0.836
PCNA	ERBB2	1856984	1846101	ENSP00000368438	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.601	0.601
USP7	TP53	1852711	1846083	ENSP00000343535	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.912	0.999
SRC	CREBBP	1853652	1845124	ENSP00000350941	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.819	0.000	0.592	0.923
SOS1	IGF1R	1858968	1845984	ENSP00000384675	ENSP00000268035	0.000	0.000	0.000	0.000	0.000	0.102	0.900	0.248	0.926
GAB2	EGFR	1854264	1846445	ENSP00000354952	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.804	0.000	0.620	0.922
CDKN2A	ATM	1859838	1846577	ENSP00000394932	ENSP00000278616	0.000	0.000	0.000	0.000	0.000	0.076	0.000	0.700	0.710
CDK2	KAT2B	1845906	1845408	ENSP00000266970	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.831	0.000	0.533	0.918
SRC	CDK4	1853652	1844551	ENSP00000350941	ENSP00000257904	0.000	0.000	0.371	0.644	0.000	0.107	0.000	0.925	0.473
MAPK8	AKT1	1853988	1846136	ENSP00000353483	ENSP00000270202	0.000	0.000	0.298	0.631	0.000	0.100	0.000	0.979	0.481
GAB2	MAPK8	1854264	1853988	ENSP00000354952	ENSP00000353483	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.834	0.834
MDM2	H2AFX	1861282	1856252	ENSP00000417281	ENSP00000364310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.450	0.450
